Negara,Provinsi,Bulan,Tahun,Jumlah Dana Pensiun,Aset (Rp Miliar),Aset Neto (Rp Miliar),Investasi (Rp Miliar)
INDONESIA,KEPULAUAN BANGKA BELITUNG,September,2023,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,September,2023,1,177.174209445,177.174209445,174.762112321
INDONESIA,JAMBI,September,2023,1,217.262509716,216.962551391,202.578555921
INDONESIA,BENGKULU,September,2023,1,111.967220612,111.964533812,110.661004503
INDONESIA,SUMATERA SELATAN,Oktober,2023,5,5270.001633955131,5258.770994704451,5020.265913295431
INDONESIA,KEPULAUAN BANGKA BELITUNG,Oktober,2023,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Oktober,2023,1,176.506762458,176.500762458,173.492908086
INDONESIA,JAMBI,Oktober,2023,1,217.220153016,216.935653025,205.95587639
INDONESIA,BENGKULU,Oktober,2023,1,112.804880012,112.802210012,111.871004503
INDONESIA,SUMATERA SELATAN,November,2023,5,5324.8508348715195,5314.0826491197395,5105.392778499429
INDONESIA,KEPULAUAN BANGKA BELITUNG,November,2023,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,November,2023,1,180.519460888,180.511460888,177.899070095
INDONESIA,JAMBI,November,2023,1,219.273243281,219.004201624,208.433799176
INDONESIA,BENGKULU,November,2023,1,114.810982209,114.390982209,113.561004503
INDONESIA,SUMATERA SELATAN,Desember,2023,5,5342.184794134732,5330.345094243633,5171.8085206699725
INDONESIA,KEPULAUAN BANGKA BELITUNG,Desember,2023,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Desember,2023,1,182.264584268,182.264584268,179.878829468
INDONESIA,JAMBI,Desember,2023,1,220.740201587,220.486618264,210.596870044
INDONESIA,BENGKULU,Desember,2023,1,115.899340977,115.473295977,113.361004503
INDONESIA,SUMATERA SELATAN,Januari,2024,5,5354.5999500282305,5339.76158656529,5155.68818053129
INDONESIA,KEPULAUAN BANGKA BELITUNG,Januari,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Januari,2024,1,182.261863929,182.261863929,179.28002839
INDONESIA,JAMBI,Januari,2024,1,221.809379303,221.571254314,211.048217913
INDONESIA,BENGKULU,Januari,2024,1,116.331462518,115.910929285,114.381004503
INDONESIA,SUMATERA SELATAN,Februari,2024,5,5360.925015597884,5347.2551955042345,5156.266797850284
INDONESIA,KEPULAUAN BANGKA BELITUNG,Februari,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Februari,2024,1,182.795252274,182.784448121,179.939466986
INDONESIA,JAMBI,Februari,2024,1,222.914823372,222.692156717,210.970446616
INDONESIA,BENGKULU,Februari,2024,1,116.905900474,116.485367241,114.791004503
INDONESIA,SUMATERA SELATAN,Maret,2024,5,5373.92400194851,5361.63095888002,5143.89505999675
INDONESIA,KEPULAUAN BANGKA BELITUNG,Maret,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Maret,2024,1,182.143617827,182.100163218,179.001456744
INDONESIA,JAMBI,Maret,2024,1,224.449656565,224.242448244,213.839175985
INDONESIA,BENGKULU,Maret,2024,1,116.934940219,116.598940219,115.131004503
INDONESIA,SUMATERA SELATAN,April,2024,5,5325.691517598189,5312.674803424189,5176.600894092519
INDONESIA,KEPULAUAN BANGKA BELITUNG,April,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,April,2024,1,180.138434363,180.11435805,177.493825656
INDONESIA,JAMBI,April,2024,1,223.490268845,223.298518858,212.38613037
INDONESIA,BENGKULU,April,2024,1,117.197562614,116.861562614,115.077651503
INDONESIA,SUMATERA SELATAN,Mei,2024,5,5335.223661370653,5323.971175036652,5171.349040046682
INDONESIA,KEPULAUAN BANGKA BELITUNG,Mei,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Mei,2024,1,182.448958218,182.337791552,178.210034285
INDONESIA,JAMBI,Mei,2024,1,225.300811487,225.139978168,215.863487025
INDONESIA,BENGKULU,Mei,2024,1,118.565410662,118.229410662,116.477651503
INDONESIA,SUMATERA SELATAN,Juni,2024,5,5335.223661370653,5323.971175036652,5171.349040046682
INDONESIA,KEPULAUAN BANGKA BELITUNG,Juni,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Juni,2024,1,182.448958218,182.337791552,178.210034285
INDONESIA,JAMBI,Juni,2024,1,225.300811487,225.139978168,215.863487025
INDONESIA,BENGKULU,Juni,2024,1,118.565410662,118.229410662,116.477651503
INDONESIA,SUMATERA SELATAN,Juli,2024,5,5369.379562195668,5356.891578361668,5232.316741128588
INDONESIA,KEPULAUAN BANGKA BELITUNG,Juli,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Juli,2024,1,183.476355268,183.364938602,179.01696997
INDONESIA,JAMBI,Juli,2024,1,226.372787663,226.139912678,219.646046794
INDONESIA,BENGKULU,Juli,2024,1,118.677138198,118.341138198,116.827651503
INDONESIA,SUMATERA SELATAN,Agustus,2024,5,5426.587082002891,5414.256742076892,5249.161667603912
INDONESIA,KEPULAUAN BANGKA BELITUNG,Agustus,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Agustus,2024,1,186.406939502,186.295272836,181.848340715
INDONESIA,JAMBI,Agustus,2024,1,227.951326297,227.733909646,221.057545763
INDONESIA,BENGKULU,Agustus,2024,1,119.173358688,118.837358688,117.927651503
INDONESIA,SUMATERA SELATAN,September,2024,5,5468.8643132258985,5457.424320493898,5339.368006628689
INDONESIA,KEPULAUAN BANGKA BELITUNG,September,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,September,2024,1,188.021289052,187.909372386,183.467250175
INDONESIA,JAMBI,September,2024,1,229.610195794,229.408237477,222.649385648
INDONESIA,BENGKULU,September,2024,1,120.016423752,119.680423752,117.927651503
INDONESIA,SUMATERA SELATAN,Oktober,2024,5,5445.108947869022,5433.868329830021,5305.972940148012
INDONESIA,KEPULAUAN BANGKA BELITUNG,Oktober,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Oktober,2024,1,186.620604782,186.461438116,181.645646959
INDONESIA,JAMBI,Oktober,2024,1,229.491186882,229.304686899,223.553937817
INDONESIA,BENGKULU,Oktober,2024,1,120.713237482,120.377237482,119.107651503
INDONESIA,SUMATERA SELATAN,November,2024,5,5426.539277536151,5415.618393694151,5305.22870383879
INDONESIA,KEPULAUAN BANGKA BELITUNG,November,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,November,2024,1,186.780236438,186.620819773,181.691772512
INDONESIA,JAMBI,November,2024,1,230.440723288,230.269681639,224.571684903
INDONESIA,BENGKULU,November,2024,1,121.877414613,121.541414613,119.607651503
INDONESIA,SUMATERA SELATAN,Desember,2024,5,5430.018816853322,5418.121699255323,5322.809551852111
INDONESIA,KEPULAUAN BANGKA BELITUNG,Desember,2024,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Desember,2024,1,186.27512097,186.092954306,181.702498731
INDONESIA,JAMBI,Desember,2024,1,231.025689555,230.870106232,223.667784972
INDONESIA,BENGKULU,Desember,2024,1,123.206296532,122.864296532,120.392651503
