Jumlah Bulan Laporan,10,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,2025,,,,,,,,,,,,,,,,,,,
,PROVINSI SUMATERA SELATAN,,,,,,,,,,,,,,,,,,,
,KAB. BANYUASIN,KAB. EMPAT LAWANG,KAB. LAHAT,KAB. MUARA ENIM,KAB. MUSI BANYUASIN,KAB. MUSI RAWAS,KAB. MUSI RAWAS UTARA,KAB. OGAN ILIR,KAB. OGAN KOMERING ILIR,KAB. OGAN KOMERING ULU,KAB. OGAN KOMERING ULU SELATAN,KAB. OGAN KOMERING ULU TIMUR,KAB. PENUKAL ABAB LEMATANG ILIR,KOTA LUBUK LINGGAU,KOTA PAGAR ALAM,KOTA PALEMBANG,KOTA PRABUMULIH,All,,
PENANGKAPAN IKAN TUNA,,,,,,,,,,,,,,,,,,,,
PENANGKAPAN PISCES/IKAN BERSIRIP DI PERAIRAN UMUM,31677165,,,78760599,,,,,31929055,3780130500,,2247271,,19273575,,5510977983,,9454996148,,
PENANGKAPAN UDANG LAUT,,,,,,,,,,,,,,,,1289551490,,1289551490,,
PENCETAKAN LAHAN SAWAH,,,12482587,24337802,,,,,12741880090,49995756,,,3334940137,69704377,,483151353,,16716492102,,
PENDIDIKAN,,,,,,,,,,,,,,,,,,,,
PENDIDIKAN DASAR DAN PENDIDIKAN ANAK USIA DINI,,,,10228587,,,,,,94577558,,,,4043214424,,27342943507,3100567102,34591531178,,
PENDIDIKAN LAINNYA,365373242,,115560210,739786984,198654200,,,,1551865244,1169206646,243470364,,,5846685302,277411439,158084180151,453418006,169045611788,,
PENDIDIKAN MENENGAH,,,,,,,,,1536098274,3640644980,,,,398627237,315204027,49139155864,,55029730382,,
PENDIDIKAN TINGGI,,,2197212896,,,,,,,2873147301,,,,,,87191161141,58333348,92319854686,,
PENELITIAN DAN PENGEMBANGAN ILMU PENGETAHUAN ALAM DAN ILMU TEKNOLOGI DAN REKAYASA,,,,,,,,,,,,,,,,,,,,
