Provinsi,Kab/Kota,Tahun,Bulan,Jenis Bank,Skema,Aset,Kredit ,DPK,NPL
Sumatera Selatan,Kab. Musi Banyuasin,2021,Desember,Bank Umum,Konvensional,3106.449800011,2721.286451665,2816.74963929,42.734504811
Sumatera Selatan,Kab. Musi Rawas,2021,Desember,Bank Umum,Konvensional,454.934804889,413.859854092,414.992280727,5.583193382
Sumatera Selatan,Kab. Musi Rawas Utara,2021,Desember,Bank Umum,Konvensional,244.800803862,217.815553729,231.176575285,7.841285247
Sumatera Selatan,Kab. Ogan Ilir,2021,Desember,Bank Umum,Konvensional,808.689528723,629.895606215,745.61177897,0.990245032
Sumatera Selatan,Kab. Ogan Komering Ilir,2021,Desember,Bank Umum,Konvensional,3660.595089622,3660.24480137,2926.893557915,41.600891752
Sumatera Selatan,Kab. Ogan Komering Ulu,2021,Desember,Bank Umum,Konvensional,3779.078604348,3597.432475894,3174.607327861,71.08003983
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2021,Desember,Bank Umum,Konvensional,663.675417167,618.905880619,328.480236778,6.572104423
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2021,Desember,Bank Umum,Konvensional,876.717313153,822.518080396,543.574844163,17.10500181
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2021,Desember,Bank Umum,Konvensional,470.478507165,245.12593444,449.326430263,8.72464214
Sumatera Selatan,Kota Lubuklinggau,2021,Desember,Bank Umum,Konvensional,3515.795269532,3173.803790679,3305.864313919,48.433841522
Sumatera Selatan,Kota Pagar Alam,2021,Desember,Bank Umum,Konvensional,1466.001913073,1437.409662248,948.44436947,18.888693443
Sumatera Selatan,Kota Palembang,2021,Desember,Bank Umum,Konvensional,67584.64228221,53440.642992711,60763.48256116,1997.014295334
Sumatera Selatan,Kota Prabumulih,2021,Desember,Bank Umum,Konvensional,4596.539308433,3259.336195156,4444.100844705,59.862765457
Sumatera Selatan,All Sumatera Selatan,2021,Desember,Bank Umum,Konvensional,100578.687919279,80047.295599647,91560.299530719,2483.785035761
Sumatera Selatan,Kab. Banyuasin,2022,Desember,Bank Umum,Konvensional,1062.207471241,1027.338212914,749.830167312,64.955061925
Sumatera Selatan,Kab. Empat Lawang,2022,Desember,Bank Umum,Konvensional,657.240596915,620.431707509,343.722713934,0.519357438
Sumatera Selatan,Kab. Lahat,2022,Desember,Bank Umum,Konvensional,2265.453105491,1925.070823042,2116.839911411,34.466349539
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2022,Desember,Bank Umum,Konvensional,11108.207041171,2667.157385616,11077.891657437,79.033822417
Sumatera Selatan,Kab. Musi Banyuasin,2022,Desember,Bank Umum,Konvensional,3185.676163936,3102.223276576,2933.900889547,67.82548607
Sumatera Selatan,Kab. Musi Rawas,2022,Desember,Bank Umum,Konvensional,487.958945753,461.282064251,405.575049394,7.325334234
Sumatera Selatan,Kab. Musi Rawas Utara,2022,Desember,Bank Umum,Konvensional,324.706443467,265.237333276,303.396984561,6.159149501
Sumatera Selatan,Kab. Ogan Ilir,2022,Desember,Bank Umum,Konvensional,858.196552338,670.971318264,799.381069527,2.155790431
Sumatera Selatan,Kab. Ogan Komering Ilir,2022,Desember,Bank Umum,Konvensional,4098.705046722,4095.436902431,3039.797562198,74.331551202
Sumatera Selatan,Kab. Ogan Komering Ulu,2022,Desember,Bank Umum,Konvensional,4146.303628362,4003.0503699,3232.663844924,86.038044452
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2022,Desember,Bank Umum,Konvensional,808.994615753,757.275700223,457.43187845,9.318839247
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2022,Desember,Bank Umum,Konvensional,961.735697125,916.606548495,559.620914359,16.285322996
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2022,Desember,Bank Umum,Konvensional,596.459508713,298.078062801,572.771280832,7.813465369
Sumatera Selatan,Kota Lubuklinggau,2022,Desember,Bank Umum,Konvensional,3875.790412847,3775.180311518,3365.611818999,50.110239945
Sumatera Selatan,Kota Pagar Alam,2022,Desember,Bank Umum,Konvensional,1669.848894909,1621.423939165,1037.356515899,27.696600809
Sumatera Selatan,Kota Palembang,2022,Desember,Bank Umum,Konvensional,70929.701142822,54009.111545803,63770.887655548,1906.805198017
Sumatera Selatan,Kota Prabumulih,2022,Desember,Bank Umum,Konvensional,4736.194788173,3533.793339889,4629.238575253,90.780293875
Sumatera Selatan,All Sumatera Selatan,2022,Desember,Bank Umum,Konvensional,108145.17035895,83749.668841673,99395.918489585,2531.619907467
Sumatera Selatan,Kab. Banyuasin,2023,Januari,Bank Umum,Konvensional,1034.972592873,1022.686871557,692.681307834,65.546216847
Sumatera Selatan,Kab. Empat Lawang,2023,Januari,Bank Umum,Konvensional,662.140098417,616.656688054,315.700892367,0.51839761
Sumatera Selatan,Kab. Lahat,2023,Januari,Bank Umum,Konvensional,2388.44712029,1914.509245573,2188.024077075,39.275099128
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2023,Januari,Bank Umum,Konvensional,10487.736201981,2660.785686078,10403.151284086,85.608901355
Sumatera Selatan,Kab. Musi Banyuasin,2023,Januari,Bank Umum,Konvensional,3149.091805883,3084.043063385,2705.713426156,75.748611555
Sumatera Selatan,Kab. Musi Rawas,2023,Januari,Bank Umum,Konvensional,478.721616434,461.04201189,404.043629177,7.326858455
Sumatera Selatan,Kab. Musi Rawas Utara,2023,Januari,Bank Umum,Konvensional,345.323872616,262.334739092,328.537071955,6.865828104
Sumatera Selatan,Kab. Ogan Ilir,2023,Januari,Bank Umum,Konvensional,833.054370193,666.763373524,773.053715478,2.692496563
Sumatera Selatan,Kab. Ogan Komering Ilir,2023,Januari,Bank Umum,Konvensional,4048.571755338,4052.854248412,2897.65582781,82.818325
Sumatera Selatan,Kab. Ogan Komering Ulu,2023,Januari,Bank Umum,Konvensional,4011.708327518,3891.391204939,3028.022799683,92.498203234
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2023,Januari,Bank Umum,Konvensional,785.325265728,751.338087023,446.551253769,10.132526181
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2023,Januari,Bank Umum,Konvensional,938.90772071,906.473681299,548.822426064,15.626542605
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2023,Januari,Bank Umum,Konvensional,574.167858596,295.298511989,551.391514153,7.932496284
Sumatera Selatan,Kota Lubuklinggau,2023,Januari,Bank Umum,Konvensional,3838.370975959,3766.923300359,3214.403856023,48.823971797
Sumatera Selatan,Kota Pagar Alam,2023,Januari,Bank Umum,Konvensional,1640.367031745,1612.013551343,955.280523555,36.282449763
Sumatera Selatan,Kota Palembang,2023,Januari,Bank Umum,Konvensional,69023.49392678,53480.529874962,61454.907021495,1976.082673878
Sumatera Selatan,Kota Prabumulih,2023,Januari,Bank Umum,Konvensional,4533.24150315,3489.530043322,4360.717916153,95.067354854
Sumatera Selatan,All Sumatera Selatan,2023,Januari,Bank Umum,Konvensional,104801.920221922,82935.174182801,95268.658542833,2648.846953213
Sumatera Selatan,Kab. Banyuasin,2023,Februari,Bank Umum,Konvensional,1033.837250946,1024.51471661,699.836583142,65.081890874
Sumatera Selatan,Kab. Empat Lawang,2023,Februari,Bank Umum,Konvensional,623.527163304,600.922382598,275.983419607,0.651906884
Sumatera Selatan,Kab. Lahat,2023,Februari,Bank Umum,Konvensional,2280.986711841,1919.914696134,2132.186167196,41.776165531
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2023,Februari,Bank Umum,Konvensional,10681.985631958,2675.352831123,10657.669653941,92.175251021
Sumatera Selatan,Kab. Musi Banyuasin,2023,Februari,Bank Umum,Konvensional,3158.003631103,3106.981056365,2787.063641121,74.831310681
Sumatera Selatan,Kab. Musi Rawas,2023,Februari,Bank Umum,Konvensional,479.313792998,464.296616316,439.824444581,7.345619886
Sumatera Selatan,Kab. Musi Rawas Utara,2023,Februari,Bank Umum,Konvensional,348.455900117,268.215410633,342.571534527,7.253479843
Sumatera Selatan,Kab. Ogan Ilir,2023,Februari,Bank Umum,Konvensional,784.493470718,668.022559856,770.678602768,3.125843749
Sumatera Selatan,Kab. Ogan Komering Ilir,2023,Februari,Bank Umum,Konvensional,4044.922800105,4080.617528324,2859.827748696,90.04030402
Sumatera Selatan,Kab. Ogan Komering Ulu,2023,Februari,Bank Umum,Konvensional,4006.129293891,3953.630436272,2993.532739097,103.718923944
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2023,Februari,Bank Umum,Konvensional,777.32398845,744.928784062,426.588411753,10.545313576
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2023,Februari,Bank Umum,Konvensional,966.517199926,930.440666797,625.811586038,15.667776172
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2023,Februari,Bank Umum,Konvensional,576.83992455,300.354722218,568.910126231,8.140886158
Sumatera Selatan,Kota Lubuklinggau,2023,Februari,Bank Umum,Konvensional,3835.278456634,3798.950936918,3225.221037919,45.265973356
Sumatera Selatan,Kota Pagar Alam,2023,Februari,Bank Umum,Konvensional,1641.795532392,1627.045797116,922.958134729,36.416026726
Sumatera Selatan,Kota Palembang,2023,Februari,Bank Umum,Konvensional,69167.060370014,53416.168262678,61124.349001481,2028.356853903
Sumatera Selatan,Kota Prabumulih,2023,Februari,Bank Umum,Konvensional,4507.337032446,3516.950401727,4377.893705415,100.511542994
Sumatera Selatan,All Sumatera Selatan,2023,Februari,Bank Umum,Konvensional,104517.497605952,83097.307805747,95230.906538242,2730.905069318
Sumatera Selatan,Kab. Banyuasin,2023,Maret,Bank Umum,Konvensional,1026.963054954,1027.529369418,729.313825726,64.965525751
Sumatera Selatan,Kab. Empat Lawang,2023,Maret,Bank Umum,Konvensional,622.063166975,592.34464589,247.984022592,0.460665691
