Provinsi,Tahun,Bulan,Jenis Kredit/Pembiayaan,"Nominal Kredit 
(Rp Miliar)","Nominal NPL 
(Rp Miliar)",Nominal NPL Net (Rp Miliar),Jumlah Rekening UMKM
KEPULAUAN BANGKA BELITUNG,2023,September,UMKM,7025.023770478,278.079282876,144.853970627,88042
Lampung,2023,September,UMKM,29262.149148331,1289.021310832,534.82293226,620407
Jambi,2023,September,UMKM,23147.259529413,660.041602521,292.864078371,277448
Bengkulu,2023,September,UMKM,12773.906703995,345.300747251,140.132787649,208864
Sumatera Selatan,2023,Oktober,UMKM,37851.527792433,1565.573045269,572.850002417,648717
KEPULAUAN BANGKA BELITUNG,2023,Oktober,UMKM,7264.555863,278.186632377,144.975118648,87897
Lampung,2023,Oktober,UMKM,29710.759328134,1281.528781379,528.722830589,616250
Jambi,2023,Oktober,UMKM,23322.985903439,647.256141524,304.049763108,277312
Bengkulu,2023,Oktober,UMKM,12865.871995667,355.295411645,142.695137007,207902
Sumatera Selatan,2023,November,UMKM,37802.730371898,1570.507815235,574.295978643,653364
KEPULAUAN BANGKA BELITUNG,2023,November,UMKM,7144.412974838,273.39832728,143.604394992,87478
Lampung,2023,November,UMKM,30473.457905548,1270.768428222,532.010251606,615242
Jambi,2023,November,UMKM,23743.798864142,639.430614355,305.572716111,279889
Bengkulu,2023,November,UMKM,12988.488061589,378.052568954,151.823509446,208122
Sumatera Selatan,2023,Desember,UMKM,38134.760967929,1450.090090122,556.641460192,657515
KEPULAUAN BANGKA BELITUNG,2023,Desember,UMKM,6939.884678628,238.583966056,126.684218463,87568
Lampung,2023,Desember,UMKM,30975.488706886,1236.774829835,571.526965803,616497
Jambi,2023,Desember,UMKM,24030.037232741,614.338934897,312.215575502,280606
Bengkulu,2023,Desember,UMKM,13138.725485415,345.410132397,150.06111448,208222
Sumatera Selatan,2024,Januari,UMKM,38054.64883905,1542.754847607,559.257727964,656655
KEPULAUAN BANGKA BELITUNG,2024,Januari,UMKM,6718.471175258,262.572401227,129.798761332,87870
Lampung,2024,Januari,UMKM,30965.705006759,1346.332931728,577.425231713,610230
Jambi,2024,Januari,UMKM,24125.059867404,681.909599132,335.183849951,280019
