Negara,Provinsi,Tahun,Bulan,Total Aset,Giro,Tabungan,Deposito,Total DPK ,Modal Kerja,Investasi,Konsumsi,Total Kredit,Nominal NPL Gross,Rasio NPL Gross,Nominal NPL Net,Rasio NPL Net,Loan to Deposit Rastio (LDR)
INDONESIA,SUMATERA SELATAN,2024,November,136439.789860589,21541.577159722,58343.341839578,33036.048070462006,112920.9671,45483.552689111,24856.890216236,49900.899831216,120241.3427,2719.792243338,0.02261944337,1085.998262122,0.009031820815,1.064827426
INDONESIA,SUMATERA SELATAN,2024,Desember,137332.111884668,17186.26948688,60399.511271491996,32085.539764893,109671.3205,43444.134883945,25282.144337543,50144.125966121,118870.4052,2746.272836914,0.023103083,1033.593869502,0.008695132046,1.083878671
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,Januari,26577.892462279,4910.058093034,13315.09299322,7488.688275761,25713.83936,4675.066712908,2495.926347074,7416.482072024,14587.47513,607.459198224,0.04164251817,185.155768756,0.0126927907,0.5673005469
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,Februari,26621.987069721003,4455.847883663,13244.35552868,8159.787118123,25859.99053,4630.22170862,2548.7879091570003,7535.167335653,14714.17695,627.5565123169999,0.04264978696,189.64156529,0.01288835698,0.5689939034
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,Maret,26098.598735555,4586.95985846,12848.212979882,7860.472492756,25295.64533,4829.892793093,2617.803966843,7613.3367982849995,15061.03356,618.524895607,0.04106789174,187.107601317,0.01242329091,0.5954002502
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,April,26414.228428149003,4859.674178542,13079.036266764002,7635.8308421169995,25574.54129,4899.491989589,2637.237484152,7611.6391731819995,15148.36865,611.1423934530001,0.04034377613,203.088439154,0.01340662113,0.5923222034
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,Mei,26536.825045919002,4839.078182938,13082.219216128,7733.938104434,25655.2355,4850.917672766001,2684.2993781210002,7676.715578151,15211.93263,601.895984154,0.039567358,201.009874949,0.01321396037,0.5929367761
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,Juni,26699.118540172996,4705.339948513,13249.344111987,7788.60136031,25743.28542,4918.60159388,2705.537470097,7718.865468581999,15343.00453,570.851695317,0.03720599144,191.559670527,0.01248514723,0.5960002495
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,Juli,26744.834439849,4478.843613835,13348.380436136,7906.755031479999,25733.97908,4945.734228968,2748.130344022,7788.942045053001,15482.80662,590.0213313429999,0.03810816384,199.855370674,0.01290821332,0.6016483719
INDONESIA,KEPULAUAN BANGKA BELITUNG,2023,Agustus,27418.736370678,4968.780139673,13224.25176389,8029.270212951,26222.30212,5137.491463189001,2810.751595372,7855.527767265001,15803.77083,578.42906653,0.03660069947,194.856203339,0.01232972849,0.6026843393
